NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.failsWithInvalidParameterConfiguration(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.onItemClickBindingWithParameters(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.onItemClickBinding(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.onItemClickBindingWithParameterSubsetAndGenerics(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.onItemClickBindingWithParameterSubset(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.onClickRootViewBinding(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.failsWithInvalidId(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.onClickRootViewAnyTypeBinding(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemClickTest.optionalIdAbsent(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,CRUCIAL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemClickTest.simple(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,CRUCIAL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemClickTest.multipleIds(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,CRUCIAL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemClickTest.argumentCast(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,CRUCIAL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemClickTest.visibilities(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,CRUCIAL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemClickTest.multipleBindings(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,CRUCIAL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemClickTest.optionalIdPresent(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,CRUCIAL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemClickTest.Visibilities,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,HIGH,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemClickTest.MultipleIds,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,HIGH,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemClickTest.OptionalId,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,HIGH,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemClickTest.Simple,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,HIGH,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemClickTest.ArgumentCast,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,HIGH,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemClickTest.TestSpinner,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,HIGH,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemClickTest.MultipleBindings,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,HIGH,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,DOC_INSERT,JAVADOC: /** This augments {@link OnClickTest} with tests that exercise callbacks with parameters. */,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,NONE,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDING_CLASS_DERIVABILITY,MODIFIER: final,MODIFIERS: ,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.failsWithInvalidParameterConfiguration(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.onItemClickBindingWithParameters(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.onItemClickBinding(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.onItemClickBindingWithParameterSubsetAndGenerics(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.onItemClickBindingWithParameterSubset(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.onClickRootViewBinding(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.failsWithInvalidId(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnItemClickTest.onClickRootViewAnyTypeBinding(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,LOW,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemClickTest.optionalIdAbsent(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,CRUCIAL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemClickTest.simple(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,CRUCIAL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemClickTest.multipleIds(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,CRUCIAL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemClickTest.argumentCast(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,CRUCIAL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemClickTest.visibilities(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,CRUCIAL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemClickTest.multipleBindings(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,CRUCIAL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnItemClickTest.optionalIdPresent(),CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,CRUCIAL,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemClickTest.Visibilities,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,HIGH,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemClickTest.MultipleIds,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,HIGH,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemClickTest.OptionalId,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,HIGH,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemClickTest.Simple,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,HIGH,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemClickTest.ArgumentCast,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,HIGH,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemClickTest.TestSpinner,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,HIGH,,,,
53,fd57f2752c31f862ce966caba0bda56184fb4dcb,REMOVED_CLASS,CLASS: com.example.butterknife.functional.OnItemClickTest.MultipleBindings,CLASS: com.example.butterknife.functional.OnItemClickTest,com.example.butterknife.functional.OnItemClickTest,HIGH,,,,
54,9d4cf03d2cb2c54e47e831a30ebefcc336d73059,ADDING_CLASS_DERIVABILITY,MODIFIER: final,MODIFIERS: ,com.example.butterknife.functional.OnTouchTest,LOW,,,,
54,9d4cf03d2cb2c54e47e831a30ebefcc336d73059,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnTouchTest.touch(),CLASS: com.example.butterknife.functional.OnTouchTest,com.example.butterknife.functional.OnTouchTest,LOW,,,,
54,9d4cf03d2cb2c54e47e831a30ebefcc336d73059,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnTouchTest.defaultReturnValue(),CLASS: com.example.butterknife.functional.OnTouchTest,com.example.butterknife.functional.OnTouchTest,LOW,,,,
54,9d4cf03d2cb2c54e47e831a30ebefcc336d73059,ADDITIONAL_FUNCTIONALITY,METHOD: butterknife.OnTouchTest.failsMultipleListenersWithReturnValue(),CLASS: com.example.butterknife.functional.OnTouchTest,com.example.butterknife.functional.OnTouchTest,LOW,,,,
54,9d4cf03d2cb2c54e47e831a30ebefcc336d73059,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnTouchTest.optionalIdAbsent(),CLASS: com.example.butterknife.functional.OnTouchTest,com.example.butterknife.functional.OnTouchTest,CRUCIAL,,,,
54,9d4cf03d2cb2c54e47e831a30ebefcc336d73059,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnTouchTest.simple(),CLASS: com.example.butterknife.functional.OnTouchTest,com.example.butterknife.functional.OnTouchTest,CRUCIAL,,,,
54,9d4cf03d2cb2c54e47e831a30ebefcc336d73059,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnTouchTest.multipleIds(),CLASS: com.example.butterknife.functional.OnTouchTest,com.example.butterknife.functional.OnTouchTest,CRUCIAL,,,,
54,9d4cf03d2cb2c54e47e831a30ebefcc336d73059,REMOVED_FUNCTIONALITY,METHOD: com.example.butterknife.functional.OnTouchTest.performTouch(View),CLASS: com.example.butterknife.functional.OnTouchTest,com.example.butterknife.functional.OnTouchTest,HIGH,,,,
